id,dt,num_RV,num_samples,MCMC,unimodal
2076066420714081664,0.10393518518518519,6,256,0,0
2076066489433553920,174.7158912037037,3,256,0,0
2076066828726173952,0.9890162037037038,6,256,0,0
2076066901752525440,135.68576388888889,3,256,0,0
2076067176628208768,0.10393518518518519,6,256,0,0
2076067623304851456,0.10393518518518519,6,256,0,0
2076067760743816576,135.68576388888889,3,256,0,0
2076067760743817472,135.79861111111111,3,256,0,0
2076067760743820032,139.9059259259259,3,256,0,0
2076067932542496000,0.10393518518518519,7,0,1,1
2076067932542498560,138.7304050925926,3,256,0,0
2076068035621721728,1.8842592592592593,5,256,0,0
2076068173060601600,139.9059259259259,3,256,0,0
2076068271834837248,0.9890162037037038,3,256,0,0
2076068310499578496,138.93471064814815,3,256,0,0
2076068413570181632,146.82810185185184,3,256,0,0
2076068860255440640,0.10393518518518519,5,256,0,0
2076068890310424960,138.8432523148148,3,256,0,0
2076068894615192832,135.68576388888889,3,256,0,0
2076069032054110208,0.10393518518518519,8,256,0,0
2076069062109136000,137.82444444444445,3,256,0,0
2076069066413835648,0.10393518518518519,5,256,0,0
2076069513090518016,142.80395833333333,3,256,0,0
2076069543142253056,0.8850810185185185,6,256,0,0
2076069616169707776,139.70162037037036,3,256,0,0
2076069994126891520,136.89047453703705,3,256,0,0
2076070131565828480,0.10393518518518519,7,256,0,0
2076070440803424384,138.93471064814815,3,256,0,0
2076070715681319936,142.89541666666668,3,256,0,0
2076070848816028800,0.10393518518518519,7,256,0,0
2076070887480044544,137.91590277777777,3,256,0,0
2076071059278765184,0.10393518518518519,7,256,0,0
2076071093638513536,0.10393518518518519,7,256,0,0
2076071127998239488,137.82444444444445,3,256,0,0
2076071368516604160,0.10393518518518519,6,256,0,0
2076073808057604992,142.86739583333335,3,256,0,0
2076074220374495104,174.7158912037037,3,256,0,0
2076074387874312064,0.10393518518518519,6,256,0,0
2076074460892691200,135.68576388888889,3,256,0,0
2076074701401939328,0.10393518518518519,6,256,0,0
2076080302048246912,137.91590277777777,3,256,0,0
2076080370767715456,0.10393518518518519,7,256,0,0
2076080572621563520,136.68616898148147,3,256,0,0
2076080817444353920,136.89047453703705,3,256,0,0
2076080954883329536,136.7990162037037,3,256,0,0
2076081092322249216,135.79861111111111,3,256,0,0
2076081264121193984,1.8842592592592593,4,256,0,0
2076082775942073984,173.69046296296295,3,256,0,0
2076083188266601472,175.7346990740741,3,256,0,0
2080059640783332096,295.1731828703704,3,256,0,0
2080061393129929088,0.9923958333333334,5,256,0,0
2080062630080516864,4.966724537037037,4,256,0,0
2080062973677923840,0.9923958333333334,7,253,0,0
2080063179836362880,1149.8792592592592,3,256,0,0
2080063317275335168,289.1638888888889,3,256,0,0
2080063729592203392,28.93783564814815,4,256,0,0
2080064206327319552,1152.8846527777778,3,256,0,0
2080064485506449152,30.976712962962964,3,256,0,0
2080064515564300160,728.9856944444444,4,256,0,0
2080064588585669632,320.14060185185184,3,256,0,0
2080064653004009088,0.9923958333333334,6,256,0,0
2080064657305128832,33.87524305555556,4,256,0,0
2080064726025932800,26.009988425925926,3,256,0,0
2080084654674211456,770.0000231481481,3,256,0,0
2080085582385980288,1.00875,5,256,0,0
2080086338300219136,289.1638888888889,4,256,0,0
2080086338300220032,1152.8846527777778,3,256,0,0
2080086716257347328,361.1050231481481,3,256,0,0
2080087884488379776,33.87524305555556,3,256,0,0
2080088331164882560,1.00875,6,256,0,0
2080088395582464128,35.029467592592596,3,256,0,0
2080089258877964288,770.0000231481481,3,256,0,0
2080089396316882688,1.00875,4,256,0,0
2080089396316887424,382.9371990740741,3,256,0,0
2080089598179046016,1.00875,5,256,0,0
2080089705554570368,760.9689467592592,3,256,0,0
2080089877353287040,595.0439004629629,4,256,0,0
2080090220950601856,35.029467592592596,3,256,0,0
2080090289670075264,0.9923958333333334,6,256,0,0
2080090461468747904,83.06648148148147,5,171,0,0
2080090770706463360,27.001469907407408,3,256,0,0
2080091079944085632,35.029467592592596,3,256,0,0
2080092179455846400,289.1638888888889,3,256,0,0
2080092312592633216,92.39806712962962,3,256,0,0
2080092381313086976,567.2116782407408,3,256,0,0
2080092901011453568,33.87524305555556,4,256,0,0
2080095924667289216,27.001469907407408,6,19,0,0
2080096268264701184,33.87524305555556,4,256,0,0
2080096336984170752,295.1731828703704,3,256,0,0
2080096474423150464,38.99476851851852,3,256,0,0
2080097058538601088,1.00875,7,256,0,0
2080097191676689536,1.00875,3,256,0,0
2080097260396182016,1.00875,5,256,0,0
2080097573934764416,26.009988425925926,3,256,0,0
2080098119389671168,27.001469907407408,4,256,0,0
2080098123690634112,0.9923958333333334,6,256,0,0
2080099120123024896,27.001469907407408,8,0,1,1
2080099120123025024,1120.004201388889,3,256,0,0
2080099154482771200,0.9923958333333334,7,187,0,0
2080099635519245184,24.967418981481483,3,256,0,0
2080099738598460800,23.92996527777778,3,256,0,0
2080099807317935232,24.97253472222222,3,256,0,0
2080099979116631808,0.9898842592592593,4,256,0,0
2080471510966477312,289.1638888888889,3,256,0,0
2080475084380577152,207.09883101851852,3,256,0,0
2080475909013845888,0.9923958333333334,6,210,0,0
2081865172011516160,0.9890162037037038,3,256,0,0
2081865829154396928,0.9890162037037038,3,256,0,0
2081877270947189376,135.68576388888889,3,256,0,0
2081877408386167680,1.8842592592592593,3,256,0,0
2081877545825154944,1115.9962152777778,3,256,0,0
2081877717623830784,1.8842592592592593,3,256,0,0
2081877717623831424,137.71159722222222,3,256,0,0
2081877786343314432,176.70591435185185,3,256,0,0
2081877816395363456,140.82315972222221,3,256,0,0
2081877820703063808,0.9890162037037038,3,256,0,0
2081877889422566784,1.8842592592592593,3,256,0,0
2081877919474614144,136.68616898148147,3,256,0,0
2081878267379588480,139.70162037037036,3,256,0,0
2081878267381251456,0.9890162037037038,3,256,0,0
2081878473538039168,135.68576388888889,3,256,0,0
