id,MCMC,P_median,P_lower,P_upper,e_median,e_lower,e_upper
2076065836598553728,1,0.10325750145837027,2.56699435319252e-09,1.4888827423592543e-06,0.012070005214802542,8.35603184450081e-05,0.052044696077492736
2076067932542496000,1,4.751870966129789,5.959225518648026e-05,3.265799186458196e-05,0.649569389403907,0.04225083312395994,0.1429287075276916
2080099120123024896,1,51.335984613481486,0.04692384384321002,0.006944130369660684,0.32731695742555933,0.2652107969851044,0.019403899927173784
2081880397683498368,1,0.6578730104619644,1.3959404231433936e-06,1.1019428504122075e-06,0.5844996657548359,0.020630958837635882,0.03031757628112075
2081890155849265024,1,24.58746926093444,0.00934528780551247,0.0016633015095948167,0.2752943123808688,0.016726099866581523,0.021558429740345275
2082072193740880384,1,6.805817427517219,6.499421888328527e-05,6.838005597753494e-05,0.10383963227438632,0.015150682155601489,0.01621867134216763
2128095723251310464,1,7.297185646966877,2.070827331568381e-05,1.792345840900822e-05,0.032160908589694524,0.03214142361199832,0.003351214261672446
2128099983858866816,1,0.7079052961706704,3.030864736963679e-07,1.8443606816131997e-05,0.7116126300462063,0.2695942517996911,0.002696349147696897
2128102801357490048,1,2.601493280503954,7.687407320933204e-06,7.749910572396601e-06,0.05257428829879931,0.009117210733223073,0.013002087342908662
2128106851506362624,1,48.895473488894076,0.038493466277685684,0.03345399537310101,0.2342493594766826,0.025672952484327716,0.027928804621240838
2128110257413561984,1,0.21379353462669615,2.9573696269658e-09,4.624620568161042e-07,0.7868248812913687,0.10067149084340887,6.720285269756765e-05
2128121458695701888,1,1355.083683594604,0.21235101641445908,0.2473996976905255,0.2855672247772339,0.009701881303278426,0.014127104495368636
2128125375705878528,1,17.473248595346472,8.709332690770566e-05,0.0008583525769161326,0.2030575675366854,0.20287989843233098,0.009752093686561492
2128129842471629440,0,529.9437570920092,0.03780021060583749,0.03780021060583749,0.09816315801755518,0.0058677446876403,0.005867744687640286
2128140219113783296,0,99.80756686618824,0.031542892884203866,0.031542892884189655,0.14811558099326416,0.04016791181806392,0.04016791181806395
2128142830453283200,1,5.874758682158202,2.8034864456571995e-05,0.0009102074702855845,0.39470511998759283,0.14901710195216433,0.007463468190966549
2128145544872361984,1,2.982998553312492,6.897203738365221e-06,2.707527793077702e-06,0.41574244867958166,0.0066185360054557,0.18393710646576455
2128150836272089216,1,10.93667015757551,0.00012613289800356142,0.0001249555547069292,6.2900682880619354e-12,8.085771901084468e-13,9.091237188270053e-13
2128156299470704128,1,0.37547037410827405,1.9729112055166809e-07,1.814551000567377e-07,0.01249897038786756,0.0036052302909313078,0.005674503495857566
2128158395415226752,1,111.08808377291906,0.013948535131675044,0.016130373325523806,0.20235777338718655,0.040607301935388584,0.038064429976955305
2128173032662959232,1,48.42624097114994,0.006806384199101956,0.007417660406453308,0.443592349596997,0.07736319169303701,0.08353760132798693
