id,num_RV,num_samples,MCMC,unimodal
2075868096305861120,3,256,0,0
2075868955299329408,5,256,0,0
2075869024018818944,6,3,0,0
2075869058378560640,3,256,0,0
2075869058379529344,3,256,0,0
2075870501487767680,3,256,0,0
2075871150015814784,3,256,0,0
2075871253098189440,3,256,0,0
2075871257401905280,3,256,0,0
2075871532279882368,3,256,0,0
2075871807157785856,3,256,0,0
2075872356913627520,3,256,0,0
2075872941029111552,7,5,0,0
2075873284626528640,3,256,0,0
2075873387705752064,3,256,0,0
2075873525144721536,6,256,0,0
2075874074900400896,3,256,0,0
2075874246699122816,3,256,0,0
2075874418497944704,7,256,0,0
2075874452857533184,7,229,0,0
2075874482910553856,7,256,0,0
2075875071332796928,3,256,0,0
2075875307544319616,5,256,0,0
2075875311850991488,3,256,0,0
2075875552369147904,3,256,0,0
2075875586728894208,5,256,0,0
2075875655448388736,3,256,0,0
2075875655448389120,6,256,0,0
2075875655448396160,4,256,0,0
2075875685501488896,3,256,0,0
2075875758527633536,3,256,0,0
2075875827247111552,3,256,0,0
2075875999045835136,3,256,0,0
2075876136484763904,7,256,0,0
2075876170844515840,7,139,0,0
2075876411362723328,4,256,0,0
2075876445722470784,6,256,0,0
2075876583157943808,3,256,0,0
2075876583161403392,7,256,0,0
2075876617521142016,3,256,0,0
2075876651880868224,3,256,0,0
2075876754960126208,3,256,0,0
2075876961118480512,3,256,0,0
2075877098557450112,3,256,0,0
2075877373435347072,3,256,0,0
2075877373435348096,5,256,0,0
2075877373435354240,6,256,0,0
2075877613953561856,7,136,0,0
2075877644004670464,7,244,0,0
2075877648313310848,4,256,0,0
2075877648313315456,3,256,0,0
2075877678366383744,6,256,0,0
2075877712724148224,3,256,0,0
2075877751392481792,7,256,0,0
2075877781443623808,4,256,0,0
2075877785752234752,3,256,0,0
2075877854471733504,3,256,0,0
2075877888831466112,3,256,0,0
2075877923191210880,5,256,0,0
2076054910201497216,6,256,0,0
2076055666115742208,3,256,0,0
2076055769194968064,4,256,0,0
2076056318950838656,3,256,0,0
2076056353310544640,7,17,0,0
2076056662548254080,3,256,0,0
2076056868706703744,4,256,0,0
2076056868706707712,3,256,0,0
2076057040505379200,3,256,0,0
2076057139278663936,3,256,0,0
2076057212304006528,7,256,0,0
2076057418462456704,3,256,0,0
2076057624620888192,3,256,0,0
2076057693340350720,3,256,0,0
2076057899498842496,3,256,0,0
2076058140016994688,6,3,0,0
2076060682637579392,6,256,0,0
2076060957515467008,3,256,0,0
2076060991875219456,3,256,0,0
2076061369832357888,3,256,0,0
2076061404192109696,4,256,0,0
2076061472911617024,3,256,0,0
2076061743483986432,3,256,0,0
2076061988307619712,3,256,0,0
2076062125746594304,6,256,0,0
2076062194466071168,4,256,0,0
2076062744221979008,3,256,0,0
2076062881661231232,3,256,0,0
2076063122179130624,7,256,0,0
