Gaia,Per,BP-RP,Gmag,e_BP-RP,e_Gmag,num_RV
2080064515564300160,0.249,0.48343329690675674,12.816681190853716,0.00021292597231628075,0.0002052742037347313,4
2080064554225921792,11.91,1.3846069547621092,17.039159676554277,0.0036983699683980848,0.0007529577323221797,1
2080086338300220032,10.02,0.822154438597476,14.892024864674164,0.0004825106408099585,0.0003702032532883853,3
2080086407019699200,27.623,1.1019690695405266,11.02445146151391,0.00017093846585668893,0.0001831380708262609,1
2080088537323743360,10.384,1.6391061141989596,17.747532575116196,0.01674966790620113,0.001085845862865673,1
2080089877353291136,11.85,1.1996569249047742,16.50760675426662,0.002289028858758939,0.0005789577382292836,2
2080090461468747904,9.727,0.8219021749707061,14.646499723254987,0.0006061796286861226,0.0002477559420021708,5
2080090667627204736,10.9,0.9959635645833362,15.652410121056924,0.0014273361597709048,0.0007032811371231915,1
2080095615429775360,11.11,0.9083169480235611,15.311934953146906,0.0015178504720897014,0.0005748214983785243,2
2080096886739921152,15.08,0.9614501586411741,15.576237440512884,0.0014442438939924005,0.0003153604370286596,1
2080097058538601088,4.819,0.719669926746235,14.306497673398294,0.00017232699613102054,0.00023505491298974,7
2080097195977577472,13.191,1.6430785814453515,17.52400794347605,0.0048084866291746575,0.0009125598999388259,2
2080097260396182016,13.91,1.7225250540040236,17.921512297361367,0.008299465598159321,0.0011313416333838386,5
2080475084380577152,9.078,0.7949447475985885,14.783088598931954,0.0009805573783816524,0.0003493080185848644,3
2128018963596952832,2.49,0.6662308223078153,13.884061124046646,0.0005116225251753904,0.0003050803873572376,2
2128019994389145728,11.372,0.9610541460441553,15.49651148432516,-5.691213613756791e-05,0.000577372393483439,2
2128072564788836096,10.627,0.8608489304190119,15.039554006532367,0.00030304545938769937,0.00035860636672759775,1
2128094864257815552,0.497,0.5430683714654077,12.940902391242663,0.000479241370802422,0.00032858797885992083,3
2128096616604445312,7.0,0.7985179973085987,14.665918096519878,0.0008982536846628001,0.000309461094976773,2
2128098433369035392,12.785,1.5094429893504753,17.37297025129356,0.0056437552939716555,0.0009775116453518474,1
2128098712548536320,10.989,1.5471830467116447,17.374730219121176,0.006634394046951112,0.0008982999792512148,1
2128098746908279680,11.86,0.971967961157965,15.541912794895348,0.002009268330059297,0.0008791372740642244,2
2128098849987500160,6.536,0.7650208390266631,14.503452997255309,0.0006011078748668515,0.00029773064999299997,4
2128098884347245184,12.839,1.476689984822002,17.23708536509737,0.007511790590301828,0.0007693592588252367,1
2128099670319729408,9.582,0.8689091496500367,15.156090263924975,0.0004803758618721562,0.0005772048043176277,1
2128101804925014272,10.092,0.5679891624481961,13.000055839512525,0.00010817939198527109,0.0002513081280383506,4
2128102217241911552,31.648,1.132424912431036,10.914561229299007,0.00039980195785715793,0.00026900206517249415,2
2128102492119815936,11.372,1.1110075535882569,15.993178228795928,0.0018740789790021198,0.0005078882741123332,2
2128102526479557248,6.232,0.782075678749619,14.516141796765687,0.00030052026382450063,0.0002652060540925769,4
2128102526479557888,12.171,1.6456541550021768,17.052685643496957,0.009165090476225395,0.0007445387093635567,1
2128103179314615296,3.766,0.7237817071578778,14.142279896652955,0.00016675988821918098,0.0002050497534694866,3
2128104141387273344,13.16,1.1218824984368716,16.225577421793396,0.002239043710274336,0.0005183159291643297,2
2128104618123369600,0.1,0.5270483179513619,10.938658396448364,0.0017718577490691968,0.0012837992819093422,5
2128105996813096832,0.961,0.41355202847649863,12.45795868915685,0.00017013049176108704,0.00019727520874733215,3
2128106233029888896,13.429,1.8273539324218042,17.960832776935302,0.012847324533525493,0.001159235450534142,2
2128106477849445248,9.699,0.85208279684913,14.891862082845002,0.0006586331152504519,0.000268240880500273,1
2128107165044246656,18.43,1.9184895859723596,18.024752153289864,0.019892855213461184,0.0013552742771947423,1
2128107714800080384,2.22,0.6643833677754021,13.87684815000716,0.00031265236109876305,0.0003039877126893258,2
2128107783519544448,12.483,1.7030135952125,17.784771036012334,0.010411048513659763,0.0010432195016419979,2
2128108024038073216,10.968,0.9926883377989704,15.640613828110334,0.001497382941940227,0.0006441542012511885,2
2128108436354871936,13.32,1.5735140697824015,17.54040147428044,0.006572920997415065,0.0009796139286026935,7
2128108466414347264,12.003,1.3087561253490563,16.825537000170797,0.0031909261809730275,0.0007087887620472393,2
2128108539434091392,5.768,0.7362275378511978,14.358153227786676,0.00047200327030673937,0.0003226014193375093,2
2128108539434096256,14.439,0.705354142203042,13.58307556085231,9.38889949117838e-05,0.00031282992212388,6
2128108573793839232,15.483,0.44144575951139053,12.678037478326786,0.0002954341348759701,0.00021916784145533915,3
2128108706931869440,0.511,0.4259458217031309,11.60926297929067,0.0004040998774917109,0.00019669114451725526,1
2128108706932566272,13.57,1.7605692052635717,17.410569519745305,0.00863987756989032,0.0010145521717567691,3
2128108779952312320,13.993,0.8844663298513442,15.1848226358345,0.00038862364711907235,0.00035270432826920914,1
2128108814312039040,11.03,1.0883907406403335,16.05642137160773,0.0012918796815392362,0.000516975221480658,2
2128108883031497856,0.503,0.4697671538211292,12.255382687817997,1.2134956842384855e-05,0.00021261251301568393,1
2128108917391248640,0.471,0.5209161079248634,12.17327158705508,0.00029941105134306226,0.00017697452140304313,2
2128108951750969088,1.81,0.6524410323792402,13.70885401771451,0.0003428889343558701,0.0002995964823034997,3
2128109089189939200,1.518,0.351119315123789,11.948929082952752,0.0002557178584695964,0.0001827613225731124,2
2128109089189944448,0.669,0.5502568839273394,13.206584576897455,0.0005331006340038117,0.0004619659066285967,4
