id,MCMC,unimodal,P_median,P_lower,P_upper,P_std,e_median,e_lower,e_upper,e_std
2128100052578340352,0,0,1167.2605509513237,1105.0721764751481,6825.704996764807,3446.899888625464,0.2010750378878577,0.1482966096447676,0.28831329342402906,0.20593034220996503
2128100086938058880,0,0,87.31894476642864,27.878623178081575,31.56500589641135,38.565941049354585,0.15119750290440231,0.09871109353576434,0.35193000806171176,0.219608065320392
2128101014651067392,0,0,32.89647063757166,31.236665467347336,413.2477542315364,496.90817299571444,0.20320498084849425,0.1571209664068156,0.22688883440130886,0.1825805938606428
2128101560106699648,0,0,800.966010346554,757.8973340405237,2570.9794861966247,2245.5300885431843,0.16953600142729053,0.12458145157507913,0.28745734162581643,0.19758422694875122
2128101804925014272,0,0,4155.70154563247,4052.802307695773,3642.448819950774,3261.016784001116,0.16352214622156447,0.13039259301514128,0.2565126446871888,0.18797212785287173
2128101873644507008,0,0,1297.0163361185037,1256.8784691494095,6711.718089232532,3470.784273919024,0.240978361945407,0.16857072610426527,0.23641986838539175,0.197272763893972
2128101976725587072,0,0,1195.755782772052,1157.9657916907581,5591.705408835403,3112.5071757577866,0.23215497687516085,0.18279054144486412,0.2392670340221908,0.2034051944056465
2128102114162692224,0,0,230.59829397292174,127.1726056211894,0.023837715755689715,62.4669842647568,0.042303125321799875,0.03829991690561829,0.12295821962275265,0.08345989619621892
2128102526479557248,0,0,3525.976650736359,2855.0113616820136,4764.22293884666,3113.8892354358773,0.20774674358766645,0.1582937653095175,0.23046820945890592,0.18416450107420906
2128102698278273536,0,0,5521.0924903095365,4397.236158078469,2975.14114953412,3102.5225484246225,0.17402515951054975,0.13105223378778602,0.3017946193976833,0.21230241621559184
2128102801357490048,1,1,2.601493280503954,7.687407320933204e-06,7.749910572396601e-06,7.808446511747187e-06,0.05257428829879931,0.009117210733223073,0.013002087342908662,0.011197765131603463
2128102870076957440,0,0,635.8830160186913,609.2207890461924,5377.805238044513,2957.452396423212,0.21565031164481763,0.16183922995711522,0.2232934461919549,0.19324338828577178
2128102938796432768,0,0,586.8178525068765,551.8400543923092,5538.9742330408535,2869.638365309996,0.19343967788107666,0.13307571186355788,0.2322017808976867,0.17938343899513803
2128102938796435712,0,0,0.5190648162907382,0.3225811952934795,3.026049998472959,3.54067922107214,0.12233242815830045,0.09925081728781794,0.17426526984933474,0.14024769758130926
2128103179314615296,0,0,3409.6659354764306,3346.0991292963877,3689.705751822493,3066.0243141941123,0.19556979501797755,0.15789979611160365,0.22734283092827617,0.1967877263394374
2128103243733956224,0,0,1335.83993605131,1111.9223941359708,3864.3526277908372,2600.0230047305804,0.18729706647297284,0.14958306969410956,0.23078262454103177,0.17821274679478705
2128103797789896576,0,0,1194.0232502347403,1150.7849037833494,5158.213569370855,2980.60249305959,0.17244245544896342,0.13648998982612248,0.2603838434119456,0.19505883625004658
2128103935228838784,0,0,10.57510599326265,6.7346589728963915,6.734658972896391,9.9039102542594,0.3197270325090228,0.04908181521870897,0.049081815218709024,0.07217914002751323
2128104141387274240,0,0,5033.848974763309,512.5292086427417,1188.4429202845786,1227.518734510328,0.1798854775414403,0.13188760985299644,0.26624276350443743,0.20076226558957863
2128104210106765312,0,0,403.8602450492604,387.26551022857393,4653.765143044669,2719.366082584726,0.19054568435043207,0.13529035704799122,0.21172639095479318,0.17056228109227906
2128104618123369600,0,0,225.64354696501147,206.7326924747402,7.36345243249815,91.99700662970484,0.14903188369328363,0.11490678684102701,0.28683252823926386,0.19968249605630728
